Node,Node Name,Appear in
"('UBERON:0002059', ())",submandibular ganglion,"ilxtr:sparc-nlp/mmset2cn/3
ilxtr:sparc-nlp/mmset2cn/10
ilxtr:sparc-nlp/mmset2cn/11
ilxtr:sparc-nlp/mmset2cn/12"
"('UBERON:0001605', ())",ciliary muscle,ilxtr:sparc-nlp/mmset2cn/4
"('ILX:0793723', ())",Auriculotemporal nerve,ilxtr:sparc-nlp/mmset2cn/6
"('UBERON:0001817', ())",lacrimal gland,"ilxtr:sparc-nlp/mmset2cn/7
ilxtr:sparc-nlp/mmset1/2"
"('ILX:0793711', ())",Communicating branch of zygomatic nerve,"ilxtr:sparc-nlp/mmset2cn/7
ilxtr:sparc-nlp/mmset1/2"
"('UBERON:0011096', ())",lacrimal nerve,"ilxtr:sparc-nlp/mmset2cn/7
ilxtr:sparc-nlp/mmset1/2"
"('UBERON:0003962', ())",pterygopalatine ganglion,"ilxtr:sparc-nlp/mmset2cn/7
ilxtr:sparc-nlp/mmset2cn/9
ilxtr:sparc-nlp/mmset1/10"
"('UBERON:0008810', ())",nasopalatine nerve,ilxtr:sparc-nlp/mmset2cn/9
"('UBERON:0001826', ())",nasal cavity mucosa,ilxtr:sparc-nlp/mmset2cn/9
"('ILX:0793801', ())",S3 sacral parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/1
"('ILX:0793800', ())",S2 sacral parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/1
"('ILX:0793802', ())",S4 sacral parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/1
"('ILX:0793822', ())",Superior ovarian nerve,ilxtr:sparc-nlp/mmset4/10
"('UBERON:0001236', ())",adrenal medulla,ilxtr:sparc-nlp/mmset4/11
"('ILX:0793700', ())",Intermediolateral nucleus of fifth thoracic segment,"ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset1/11
ilxtr:sparc-nlp/mmset4/12
ilxtr:sparc-nlp/mmset4/8"
"('ILX:0793701', ())",Intermediolateral nucleus of sixth thoracic segment,"ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset1/11
ilxtr:sparc-nlp/mmset4/12
ilxtr:sparc-nlp/mmset4/8"
"('ILX:0793804', ())",L6 parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/2
"('ILX:0793805', ())",S1 sacral parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/2
"('ILX:0793834', ())",accessory pelvic ganglion,"ilxtr:sparc-nlp/mmset4/2
ilxtr:sparc-nlp/mmset4/3a
ilxtr:sparc-nlp/mmset4/3c
ilxtr:sparc-nlp/mmset4/3b"
"('ILX:0793806', ())",prostatic nerve plexus,ilxtr:sparc-nlp/mmset4/3
"('ILX:0793803', ())",inferior hypogastric nerve plexus ganglion,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/1"
"('UBERON:0004713', ())",corpus cavernosum penis,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3a"
"('ILX:0793807', ())",Penile cavernous nerve,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3a
ilxtr:sparc-nlp/mmset4/3c
ilxtr:sparc-nlp/mmset4/3b"
"('UBERON:0002014', ())",inferior hypogastric nerve plexus,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3e"
"('ILX:0793823', ())",major pelvic ganglion,"ilxtr:sparc-nlp/mmset4/3a
ilxtr:sparc-nlp/semves/1
ilxtr:sparc-nlp/semves/4a
ilxtr:sparc-nlp/prostate/12
ilxtr:sparc-nlp/semves/2a
ilxtr:sparc-nlp/prostate/11
ilxtr:sparc-nlp/mmset4/2
ilxtr:sparc-nlp/prostate/13
ilxtr:sparc-nlp/prostate/14
ilxtr:sparc-nlp/semves/2
ilxtr:sparc-nlp/mmset4/3b
ilxtr:sparc-nlp/semves/4
ilxtr:sparc-nlp/mmset4/3c"
"('UBERON:0011183', ())",corpus spongiosum of penis,ilxtr:sparc-nlp/mmset4/3b
"('UBERON:0002366', ())",bulbo-urethral gland,ilxtr:sparc-nlp/mmset4/3c
"('ILX:0793809', ())",Clitoral cavernous nerve,ilxtr:sparc-nlp/mmset4/3e
"('UBERON:0006608', ())",corpus cavernosum clitoridis,ilxtr:sparc-nlp/mmset4/3e
"('ILX:0793808', ())",uterovaginal nerve plexus,ilxtr:sparc-nlp/mmset4/3e
"('UBERON:0035772', ())",aortic plexus,"ilxtr:sparc-nlp/mmset4/4c
ilxtr:sparc-nlp/mmset4/4b
ilxtr:sparc-nlp/mmset4/4a
ilxtr:sparc-nlp/mmset4/9"
